UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q30,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,MTurkCode
EN,I don't know,I don't know,Good,Good,Good,Bad,Bad,Good,I don't know,Bad,Good,Good,I don't know,I don't know,Good,Bad,Bad,Bad,I don't know,Bad,Good,Good,I don't know,Good,I don't know,I don't know,Bad,Bad,I don't know,Bad,I don't know,Good,Good,Bad,I don't know,Bad,I don't know,73426832
EN,Bad,I don't know,Good,Good,Bad,I don't know,Bad,I don't know,Good,Bad,Good,I don't know,Good,I don't know,Bad,I don't know,Good,I don't know,Bad,Good,Bad,I don't know,Good,I don't know,Good,Bad,Bad,I don't know,Good,Bad,Good,Bad,Good,I don't know,Bad,Bad,I don't know,45333102
EN,Bad,Good,Bad,Bad,Good,I don't know,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,I don't know,Good,I don't know,Good,Bad,Bad,Good,52942933
EN,Good,Bad,Good,Good,I don't know,Good,Good,Good,Bad,Good,Good,Good,Good,I don't know,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,I don't know,Good,Good,8287560
Good,4,3,6,5,4,3,4,3,5,3,6,6,5,3,5,3,5,3,5,4,5,5,5,5,5,4,4,4,6,5,6,7,5,3,5,3,5,
Bad,2,1,1,1,1,2,3,2,1,4,0,0,2,1,2,3,2,3,1,2,3,2,0,0,2,1,4,2,1,4,0,2,2,3,2,3,1,
I don't know,3,5,2,3,4,4,2,4,3,2,3,3,2,5,2,3,2,3,3,3,1,2,4,4,2,4,1,3,2,0,3,0,2,3,2,3,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TF-IDF,LSA,LDA,IMDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good,37,39,42,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bad,14,17,15,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I don't know,30,25,24,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
